false_positive_rate,true_positive_rate,partition,feature_set
0.046467965,0.40622299,train,full features
0.046702652,0.40622299,train,full features
0.046702652,0.409248055,train,full features
0.046937339,0.409248055,train,full features
0.046937339,0.409680207,train,full features
0.047172025,0.409680207,train,full features
0.047172025,0.41011236,train,full features
0.047641399,0.41011236,train,full features
0.047641399,0.414001729,train,full features
0.047876085,0.414001729,train,full features
0.047876085,0.414433881,train,full features
0.048110772,0.414433881,train,full features
0.048110772,0.417026793,train,full features
0.048345459,0.417026793,train,full features
0.048345459,0.420916162,train,full features
0.048580146,0.420916162,train,full features
0.048580146,0.421780467,train,full features
0.048814832,0.421780467,train,full features
0.048814832,0.422644771,train,full features
0.049049519,0.422644771,train,full features
0.049049519,0.424373379,train,full features
0.049284206,0.424373379,train,full features
0.049284206,0.424805532,train,full features
0.049518892,0.424805532,train,full features
0.049518892,0.429559205,train,full features
0.049753579,0.429559205,train,full features
0.049753579,0.431287813,train,full features
0.049988266,0.431287813,train,full features
0.049988266,0.432152118,train,full features
0.050222952,0.432152118,train,full features
0.050222952,0.436473639,train,full features
0.050457639,0.436473639,train,full features
0.050457639,0.436905791,train,full features
0.050692326,0.436905791,train,full features
0.050692326,0.437337943,train,full features
0.051161699,0.437337943,train,full features
0.051161699,0.439498704,train,full features
0.051865759,0.439498704,train,full features
0.051865759,0.440363008,train,full features
0.052335133,0.440363008,train,full features
0.052335133,0.44079516,train,full features
0.052569819,0.44079516,train,full features
0.052569819,0.441227312,train,full features
0.053039193,0.441227312,train,full features
0.053039193,0.441659464,train,full features
0.053508566,0.441659464,train,full features
0.053508566,0.444684529,train,full features
0.053743253,0.444684529,train,full features
0.053743253,0.447277442,train,full features
0.053977939,0.447277442,train,full features
0.053977939,0.447709594,train,full features
0.054212626,0.447709594,train,full features
0.054212626,0.449870354,train,full features
0.054447313,0.449870354,train,full features
0.054447313,0.451598963,train,full features
0.054682,0.451598963,train,full features
0.054682,0.458081245,train,full features
0.055151373,0.458081245,train,full features
0.055151373,0.458513397,train,full features
0.05538606,0.458513397,train,full features
0.05538606,0.459809853,train,full features
0.055620746,0.459809853,train,full features
0.055620746,0.461538462,train,full features
0.055855433,0.461538462,train,full features
0.055855433,0.461970614,train,full features
0.05609012,0.461970614,train,full features
0.05609012,0.46326707,train,full features
0.056324806,0.46326707,train,full features
0.056324806,0.464563526,train,full features
0.056559493,0.464563526,train,full features
0.056559493,0.465427831,train,full features
0.05679418,0.465427831,train,full features
0.05679418,0.466724287,train,full features
0.057263553,0.466724287,train,full features
0.057263553,0.467156439,train,full features
0.057967613,0.467156439,train,full features
0.057967613,0.468885048,train,full features
0.0582023,0.468885048,train,full features
0.0582023,0.472774417,train,full features
0.058436987,0.472774417,train,full features
0.058436987,0.473206569,train,full features
0.05890636,0.473206569,train,full features
0.05890636,0.473638721,train,full features
0.059141047,0.473638721,train,full features
0.059141047,0.474070873,train,full features
0.059375733,0.474070873,train,full features
0.059375733,0.477095938,train,full features
0.059845107,0.477095938,train,full features
0.059845107,0.47968885,train,full features
0.060079793,0.47968885,train,full features
0.060079793,0.480553155,train,full features
0.06031448,0.480553155,train,full features
0.06031448,0.480985307,train,full features
0.060549167,0.480985307,train,full features
0.060549167,0.481417459,train,full features
0.060783854,0.481417459,train,full features
0.060783854,0.481849611,train,full features
0.06101854,0.481849611,train,full features
0.06101854,0.482281763,train,full features
0.061253227,0.482281763,train,full features
0.061253227,0.482713915,train,full features
0.061957287,0.482713915,train,full features
0.061957287,0.483146067,train,full features
0.062191974,0.483146067,train,full features
0.062191974,0.48357822,train,full features
0.06242666,0.48357822,train,full features
0.06242666,0.484010372,train,full features
0.062661347,0.484010372,train,full features
0.062661347,0.484442524,train,full features
0.062896034,0.484442524,train,full features
0.062896034,0.485306828,train,full features
0.063600094,0.485306828,train,full features
0.063600094,0.490060501,train,full features
0.063834781,0.490060501,train,full features
0.063834781,0.492221262,train,full features
0.064069467,0.492221262,train,full features
0.064069467,0.49394987,train,full features
0.064538841,0.49394987,train,full features
0.064538841,0.494814175,train,full features
0.064773527,0.494814175,train,full features
0.064773527,0.495246327,train,full features
0.065008214,0.495246327,train,full features
0.065008214,0.496110631,train,full features
0.065242901,0.496110631,train,full features
0.065242901,0.496542783,train,full features
0.065946961,0.496542783,train,full features
0.065946961,0.498703544,train,full features
0.066181648,0.498703544,train,full features
0.066181648,0.499567848,train,full features
0.066885708,0.499567848,train,full features
0.066885708,0.5,train,full features
0.067120394,0.5,train,full features
0.067120394,0.501728608,train,full features
0.067355081,0.501728608,train,full features
0.067355081,0.502592913,train,full features
0.068293828,0.502592913,train,full features
0.068293828,0.503457217,train,full features
0.068528514,0.503457217,train,full features
0.068528514,0.507778738,train,full features
0.068763201,0.507778738,train,full features
0.068763201,0.509075194,train,full features
0.069232575,0.509075194,train,full features
0.069232575,0.512100259,train,full features
0.069467261,0.512100259,train,full features
0.069467261,0.512532411,train,full features
0.070171321,0.512532411,train,full features
0.070171321,0.512964564,train,full features
0.070406008,0.512964564,train,full features
0.070406008,0.513396716,train,full features
0.070875381,0.513396716,train,full features
0.070875381,0.514693172,train,full features
0.071344755,0.514693172,train,full features
0.071344755,0.515989628,train,full features
0.072752875,0.515989628,train,full features
0.072752875,0.517718237,train,full features
0.073456935,0.517718237,train,full features
0.073456935,0.518582541,train,full features
0.073691622,0.518582541,train,full features
0.073691622,0.519446845,train,full features
0.073926308,0.519446845,train,full features
0.073926308,0.519878997,train,full features
0.074160995,0.519878997,train,full features
0.074160995,0.521175454,train,full features
0.074630368,0.521175454,train,full features
0.074630368,0.524200519,train,full features
0.074865055,0.524200519,train,full features
0.074865055,0.526361279,train,full features
0.075099742,0.526361279,train,full features
0.075099742,0.527225583,train,full features
0.075334429,0.527225583,train,full features
0.075334429,0.528089888,train,full features
0.075569115,0.528089888,train,full features
0.075569115,0.52852204,train,full features
0.076507862,0.52852204,train,full features
0.076507862,0.528954192,train,full features
0.076742549,0.528954192,train,full features
0.076742549,0.529386344,train,full features
0.077211922,0.529386344,train,full features
0.077211922,0.531547105,train,full features
0.078150669,0.531547105,train,full features
0.078150669,0.534140017,train,full features
0.078854729,0.534140017,train,full features
0.078854729,0.536300778,train,full features
0.079324102,0.536300778,train,full features
0.079324102,0.537165082,train,full features
0.079793476,0.537165082,train,full features
0.079793476,0.538893691,train,full features
0.080262849,0.538893691,train,full features
0.080262849,0.540190147,train,full features
0.080497536,0.540190147,train,full features
0.080497536,0.541918755,train,full features
0.080966909,0.541918755,train,full features
0.080966909,0.542350908,train,full features
0.081201596,0.542350908,train,full features
0.081201596,0.543215212,train,full features
0.081436283,0.543215212,train,full features
0.081436283,0.543647364,train,full features
0.081905656,0.543647364,train,full features
0.081905656,0.544079516,train,full features
0.082375029,0.544079516,train,full features
0.082375029,0.545375972,train,full features
0.082609716,0.545375972,train,full features
0.082609716,0.547536733,train,full features
0.082844403,0.547536733,train,full features
0.082844403,0.547968885,train,full features
0.083079089,0.547968885,train,full features
0.083079089,0.548401037,train,full features
0.083783149,0.548401037,train,full features
0.083783149,0.548833189,train,full features
0.084017836,0.548833189,train,full features
0.084017836,0.549697494,train,full features
0.084252523,0.549697494,train,full features
0.084252523,0.550561798,train,full features
0.08448721,0.550561798,train,full features
0.08448721,0.551426102,train,full features
0.084721896,0.551426102,train,full features
0.084721896,0.552290406,train,full features
0.08519127,0.552290406,train,full features
0.08519127,0.55315471,train,full features
0.085425956,0.55315471,train,full features
0.085425956,0.553586863,train,full features
0.08589533,0.553586863,train,full features
0.08589533,0.554883319,train,full features
0.086834077,0.554883319,train,full features
0.086834077,0.555747623,train,full features
0.087068763,0.555747623,train,full features
0.087068763,0.556179775,train,full features
0.088242197,0.556179775,train,full features
0.088242197,0.557476232,train,full features
0.08871157,0.557476232,train,full features
0.08871157,0.55920484,train,full features
0.088946257,0.55920484,train,full features
0.088946257,0.560933449,train,full features
0.089180943,0.560933449,train,full features
0.089180943,0.561365601,train,full features
0.089650317,0.561365601,train,full features
